name,path,key,competition
Boston College Eagles,basketball__boston_college_eagles,prod-1000078819,basketball/ncaab
Notre Dame Fighting Irish,basketball__notre_dame_fighting_irish,prod-1000080742,basketball/ncaab
Oral Roberts Golden Eagles,basketball__oral_roberts_golden_eagles,prod-1000083020,basketball/ncaab
Wright State Raiders,basketball__wright_state_raiders,prod-1000084279,basketball/ncaab
Georgia Tech Yellow Jackets,basketball__georgia_tech_yellow_jackets,prod-1000085301,basketball/ncaab
Nevada Wolf Pack,basketball__nevada_wolf_pack,prod-1000088735,basketball/ncaab
Texas A&M Corpus Christi Islanders,basketball__texas_a&m_corpus_christi_islanders,prod-1000090710,basketball/ncaab
UNLV Rebels,basketball__unlv_rebels,prod-1000091353,basketball/ncaab
Grambling State Tigers,basketball__grambling_state_tigers,prod-1000195147,basketball/ncaab
Michigan Wolverines,basketball__michigan_wolverines,prod-1000273316,basketball/ncaab
Saint Louis Billikens,basketball__saint_louis_billikens,prod-1000285152,basketball/ncaab
Wake Forest Demon Deacons,basketball__wake_forest_demon_deacons,prod-1000285154,basketball/ncaab
Florida State Seminoles,basketball__florida_state_seminoles,prod-1000285155,basketball/ncaab
Eastern Michigan Eagles (D1),basketball__eastern_michigan_eagles_(d1),prod-1000285158,basketball/ncaab
Providence Friars,basketball__providence_friars,prod-1000285171,basketball/ncaab
Duquesne Dukes,basketball__duquesne_dukes,prod-1000285177,basketball/ncaab
Mt. St. Mary's Mountaineers,basketball__mt._st._mary's_mountaineers,prod-1000285179,basketball/ncaab
Cincinnati Bearcats,basketball__cincinnati_bearcats,prod-1000285182,basketball/ncaab
Miami Florida Hurricanes,basketball__miami_florida_hurricanes,prod-1000287063,basketball/ncaab
Minnesota Golden Gophers,basketball__minnesota_golden_gophers,prod-1000287323,basketball/ncaab
Clemson Tigers,basketball__clemson_tigers,prod-1000287328,basketball/ncaab
Boise State Broncos,basketball__boise_state_broncos,prod-1000287574,basketball/ncaab
Baylor Bears,basketball__baylor_bears,prod-1000287656,basketball/ncaab
Cal State Fullerton Titans,basketball__cal_state_fullerton_titans,prod-1000287660,basketball/ncaab
Drake Bulldogs,basketball__drake_bulldogs,prod-1000287662,basketball/ncaab
Georgia Bulldogs,basketball__georgia_bulldogs,prod-1000287663,basketball/ncaab
Kansas Jayhawks,basketball__kansas_jayhawks,prod-1000287664,basketball/ncaab
Mississippi State Bulldogs,basketball__mississippi_state_bulldogs,prod-1000287665,basketball/ncaab
Saint Mary's Gaels,basketball__saint_mary's_gaels,prod-1000287670,basketball/ncaab
Temple Owls,basketball__temple_owls,prod-1000287671,basketball/ncaab
Western Kentucky Hilltoppers,basketball__western_kentucky_hilltoppers,prod-1000287672,basketball/ncaab
Dayton Flyers,basketball__dayton_flyers,prod-1000289788,basketball/ncaab
Akron Zips,basketball__akron_zips,prod-1000490039,basketball/ncaab
Appalachian State Mountaineers,basketball__appalachian_state_mountaineers,prod-1000490040,basketball/ncaab
Arizona State Sun Devils,basketball__arizona_state_sun_devils,prod-1000490041,basketball/ncaab
Auburn Tigers,basketball__auburn_tigers,prod-1000490043,basketball/ncaab
Chattanooga Mocs,basketball__chattanooga_mocs,prod-1000490050,basketball/ncaab
Cleveland State Vikings,basketball__cleveland_state_vikings,prod-1000490079,basketball/ncaab
Charleston Cougars,basketball__charleston_cougars,prod-1000490080,basketball/ncaab
Colorado Buffaloes,basketball__colorado_buffaloes,prod-1000490081,basketball/ncaab
Colorado State Rams,basketball__colorado_state_rams,prod-1000490082,basketball/ncaab
Delaware Fighting Blue Hens,basketball__delaware_fighting_blue_hens,prod-1000490084,basketball/ncaab
DePaul Blue Demons,basketball__depaul_blue_demons,prod-1000490085,basketball/ncaab
Harvard Crimson,basketball__harvard_crimson,prod-1000490091,basketball/ncaab
High Point Panthers,basketball__high_point_panthers,prod-1000490092,basketball/ncaab
Houston Cougars,basketball__houston_cougars,prod-1000490094,basketball/ncaab
Iowa State Cyclones,basketball__iowa_state_cyclones,prod-1000490096,basketball/ncaab
Liberty Flames,basketball__liberty_flames,prod-1000490097,basketball/ncaab
Louisiana Ragin' Cajuns,basketball__louisiana_ragin'_cajuns,prod-1000490100,basketball/ncaab
Loyola Marymount Lions,basketball__loyola_marymount_lions,prod-1000490101,basketball/ncaab
Missouri Tigers,basketball__missouri_tigers,prod-1000490117,basketball/ncaab
Montana State Bobcats,basketball__montana_state_bobcats,prod-1000490118,basketball/ncaab
New Mexico Lobos,basketball__new_mexico_lobos,prod-1000490121,basketball/ncaab
Northwestern Wildcats,basketball__northwestern_wildcats,prod-1000490126,basketball/ncaab
Ohio Bobcats,basketball__ohio_bobcats,prod-1000490128,basketball/ncaab
Oklahoma State Cowboys,basketball__oklahoma_state_cowboys,prod-1000490129,basketball/ncaab
Ole Miss Rebels,basketball__ole_miss_rebels,prod-1000490131,basketball/ncaab
Oregon State Beavers,basketball__oregon_state_beavers,prod-1000490132,basketball/ncaab
Penn State Nittany Lions,basketball__penn_state_nittany_lions,prod-1000490134,basketball/ncaab
Princeton Tigers,basketball__princeton_tigers,prod-1000490136,basketball/ncaab
Rhode Island Rams,basketball__rhode_island_rams,prod-1000490137,basketball/ncaab
Richmond Spiders,basketball__richmond_spiders,prod-1000490139,basketball/ncaab
Rutgers Scarlet Knights,basketball__rutgers_scarlet_knights,prod-1000490140,basketball/ncaab
San Francisco Dons,basketball__san_francisco_dons,prod-1000490141,basketball/ncaab
South Florida Bulls,basketball__south_florida_bulls,prod-1000490161,basketball/ncaab
Saint Bonaventure Bonnies,basketball__saint_bonaventure_bonnies,prod-1000490162,basketball/ncaab
Saint John's Red Storm,basketball__saint_john's_red_storm,prod-1000490163,basketball/ncaab
Texas Southern Tigers,basketball__texas_southern_tigers,prod-1000490164,basketball/ncaab
Utah Utes,basketball__utah_utes,prod-1000490166,basketball/ncaab
Vermont Catamounts,basketball__vermont_catamounts,prod-1000490169,basketball/ncaab
Virginia Cavaliers,basketball__virginia_cavaliers,prod-1000490170,basketball/ncaab
Yale Bulldogs,basketball__yale_bulldogs,prod-1000490174,basketball/ncaab
Washington Huskies,basketball__washington_huskies,prod-1000490176,basketball/ncaab
Southern Methodist University Mustangs,basketball__southern_methodist_university_mustangs,prod-1000490177,basketball/ncaab
TCU Horned Frogs,basketball__tcu_horned_frogs,prod-1000490178,basketball/ncaab
UAB Blazers,basketball__uab_blazers,prod-1000490179,basketball/ncaab
UC Santa Barbara Gauchos,basketball__uc_santa_barbara_gauchos,prod-1000490181,basketball/ncaab
Massachusetts Minutemen,basketball__massachusetts_minutemen,prod-1000490184,basketball/ncaab
Wyoming Cowboys,basketball__wyoming_cowboys,prod-1000490189,basketball/ncaab
Brown Bears,basketball__brown_bears,prod-1000529523,basketball/ncaab
Pennsylvania Quakers,basketball__pennsylvania_quakers,prod-1000529524,basketball/ncaab
Loyola Chicago Ramblers,basketball__loyola_chicago_ramblers,prod-1000529525,basketball/ncaab
Saint Peter's Peacocks,basketball__saint_peter's_peacocks,prod-1000529528,basketball/ncaab
Loyola Maryland Greyhounds,basketball__loyola_maryland_greyhounds,prod-1000529529,basketball/ncaab
Morehead State Eagles,basketball__morehead_state_eagles,prod-1000543969,basketball/ncaab
Alabama State Hornets,basketball__alabama_state_hornets,prod-1000543970,basketball/ncaab
Northern Iowa Panthers,basketball__northern_iowa_panthers,prod-1000544258,basketball/ncaab
American University Eagles,basketball__american_university_eagles,prod-1000544260,basketball/ncaab
East Tennessee State Buccaneers,basketball__east_tennessee_state_buccaneers,prod-1000544264,basketball/ncaab
Robert Morris Colonials,basketball__robert_morris_colonials,prod-1000544269,basketball/ncaab
Texas Longhorns,basketball__texas_longhorns,prod-1000584655,basketball/ncaab
North Carolina-Wilmington Seahawks,basketball__north_carolina-wilmington_seahawks,prod-1000693808,basketball/ncaab
Eastern Washington Eagles,basketball__eastern_washington_eagles,prod-1000703535,basketball/ncaab
UNCG Spartans,basketball__uncg_spartans,prod-1000703731,basketball/ncaab
Furman Paladins,basketball__furman_paladins,prod-1000703732,basketball/ncaab
Drexel Dragons,basketball__drexel_dragons,prod-1000703735,basketball/ncaab
Southeast Missouri State Redhawks,basketball__southeast_missouri_state_redhawks,prod-1000704877,basketball/ncaab
Samford Bulldogs,basketball__samford_bulldogs,prod-1000704878,basketball/ncaab
Georgia State Panthers,basketball__georgia_state_panthers,prod-1000704880,basketball/ncaab
SIU Edwardsville Cougars,basketball__siu_edwardsville_cougars,prod-1000705084,basketball/ncaab
Florida Atlantic Owls,basketball__florida_atlantic_owls,prod-1000705244,basketball/ncaab
James Madison Dukes,basketball__james_madison_dukes,prod-1000705245,basketball/ncaab
South Dakota State Jackrabbits,basketball__south_dakota_state_jackrabbits,prod-1000705246,basketball/ncaab
Utah Valley Wolverines,basketball__utah_valley_wolverines,prod-1000707117,basketball/ncaab
Norfolk State Spartans,basketball__norfolk_state_spartans,prod-1000707118,basketball/ncaab
Bryant Bulldogs,basketball__bryant_bulldogs,prod-1000707119,basketball/ncaab
Jacksonville State Gamecocks,basketball__jacksonville_state_gamecocks,prod-1000707419,basketball/ncaab
Howard Bison,basketball__howard_bison,prod-1000707421,basketball/ncaab
Indiana State Sycamores,basketball__indiana_state_sycamores,prod-1000707423,basketball/ncaab
Belmont Bruins,basketball__belmont_bruins,prod-1000707425,basketball/ncaab
Wofford Terriers,basketball__wofford_terriers,prod-1000707428,basketball/ncaab
Oakland Golden Grizzlies,basketball__oakland_golden_grizzlies,prod-1000708137,basketball/ncaab
North Texas Mean Green,basketball__north_texas_mean_green,prod-1000746016,basketball/ncaab
Fairleigh Dickinson Knights,basketball__fairleigh_dickinson_knights,prod-1000912198,basketball/ncaab
Colgate Raiders,basketball__colgate_raiders,prod-1000914320,basketball/ncaab
Wagner Seahawks,basketball__wagner_seahawks,prod-1000916726,basketball/ncaab
St. Francis (PA) Red Flash,basketball__st._francis_(pa)_red_flash,prod-1000916729,basketball/ncaab
Lipscomb Bisons,basketball__lipscomb_bisons,prod-1000930217,basketball/ncaab
Stetson Hatters,basketball__stetson_hatters,prod-1000930224,basketball/ncaab
Missouri State Bears,basketball__missouri_state_bears,prod-1000932715,basketball/ncaab
North Carolina Asheville Bulldogs,basketball__north_carolina_asheville_bulldogs,prod-1000961161,basketball/ncaab
Hartford Hawks,basketball__hartford_hawks,prod-1001139444,basketball/ncaab
Longwood Lancers,basketball__longwood_lancers,prod-1001139495,basketball/ncaab
Troy Trojans,basketball__troy_trojans,prod-1001139521,basketball/ncaab
Grand Canyon Antelopes,basketball__grand_canyon_antelopes,prod-1001139587,basketball/ncaab
Kennesaw State Owls,basketball__kennesaw_state_owls,prod-1001139634,basketball/ncaab
Nebraska Omaha Mavericks,basketball__nebraska_omaha_mavericks,prod-1001139636,basketball/ncaab
Northern Kentucky Norse,basketball__northern_kentucky_norse,prod-1001432897,basketball/ncaab
Abilene Christian Wildcats,basketball__abilene_christian_wildcats,prod-1001842708,basketball/ncaab
UC Irvine Anteaters,basketball__uc_irvine_anteaters,prod-1004352918,basketball/ncaab
UC San Diego Tritons,basketball__uc_san_diego_tritons,prod-1005068530,basketball/ncaab
Mount St Mary Knights,basketball__mount_st_mary_knights,prod-1005957739,basketball/ncaab
McNeese State Cowboys,basketball__mcneese_state_cowboys,prod-1028325270,basketball/ncaab
Long Beach State 49ers,basketball__long_beach_state_49ers,prod-1030095514,basketball/ncaab
Chicago White Sox,baseball__chicago_white_sox,prod-1000049847,baseball/mlb
Arizona Diamondbacks,baseball__arizona_diamondbacks,prod-1000070737,baseball/mlb
Milwaukee Brewers,baseball__milwaukee_brewers,prod-1000038294,baseball/mlb
Pittsburgh Pirates,baseball__pittsburgh_pirates,prod-1000061089,baseball/mlb
Boston Red Sox,baseball__boston_red_sox,prod-1000056551,baseball/mlb
Los Angeles Angels,baseball__los_angeles_angels,prod-1000060967,baseball/mlb
San Diego Padres,baseball__san_diego_padres,prod-1000017249,baseball/mlb
Washington Nationals,baseball__washington_nationals,prod-1000063677,baseball/mlb
Baltimore Orioles,baseball__baltimore_orioles,prod-1000018255,baseball/mlb
Texas Rangers,baseball__texas_rangers,prod-1000085122,baseball/mlb
Athletics,baseball__athletics,prod-1000015500,baseball/mlb
Detroit Tigers,baseball__detroit_tigers,prod-1000024135,baseball/mlb
Toronto Blue Jays,baseball__toronto_blue_jays,prod-1000080734,baseball/mlb
Cleveland Guardians,baseball__cleveland_guardians,prod-1008197561,baseball/mlb
New York Mets,baseball__new_york_mets,prod-1000048232,baseball/mlb
Atlanta Braves,baseball__atlanta_braves,prod-1000082147,baseball/mlb
New York Yankees,baseball__new_york_yankees,prod-1000069933,baseball/mlb
Cincinnati Reds,baseball__cincinnati_reds,prod-1000089501,baseball/mlb
Kansas City Royals,baseball__kansas_city_royals,prod-1000041292,baseball/mlb
Tampa Bay Rays,baseball__tampa_bay_rays,prod-1000052995,baseball/mlb
Seattle Mariners,baseball__seattle_mariners,prod-1000003102,baseball/mlb
Minnesota Twins,baseball__minnesota_twins,prod-1000062357,baseball/mlb
Chicago Cubs,baseball__chicago_cubs,prod-1000008384,baseball/mlb
St. Louis Cardinals,baseball__st._louis_cardinals,prod-1000012570,baseball/mlb
Houston Astros,baseball__houston_astros,prod-1000032711,baseball/mlb
Philadelphia Phillies,baseball__philadelphia_phillies,prod-1000039633,baseball/mlb
Colorado Rockies,baseball__colorado_rockies,prod-1000018852,baseball/mlb
Los Angeles Dodgers,baseball__los_angeles_dodgers,prod-1000031308,baseball/mlb
Miami Marlins,baseball__miami_marlins,prod-1000037946,baseball/mlb
San Francisco Giants,baseball__san_francisco_giants,prod-1000077734,baseball/mlb
American League,baseball__american_league,prod-1000061012,baseball/mlb
National League,baseball__national_league,prod-1005616770,baseball/mlb
Denver Nuggets,basketball__denver_nuggets,prod-1000000222,basketball/nba
Portland Trail Blazers,basketball__portland_trail_blazers,prod-1000000227,basketball/nba
Minnesota Timberwolves,basketball__minnesota_timberwolves,prod-1000027507,basketball/nba
Utah Jazz,basketball__utah_jazz,prod-1000052893,basketball/nba
Oklahoma City Thunder,basketball__oklahoma_city_thunder,prod-1000457716,basketball/nba
Chicago Bulls,basketball__chicago_bulls,prod-1000000215,basketball/nba
Cleveland Cavaliers,basketball__cleveland_cavaliers,prod-1000000216,basketball/nba
Detroit Pistons,basketball__detroit_pistons,prod-1000000217,basketball/nba
Indiana Pacers,basketball__indiana_pacers,prod-1000000218,basketball/nba
Milwaukee Bucks,basketball__milwaukee_bucks,prod-1000000219,basketball/nba
Brooklyn Nets,basketball__brooklyn_nets,prod-1000000213,basketball/nba
Toronto Raptors,basketball__toronto_raptors,prod-1000000220,basketball/nba
Boston Celtics,basketball__boston_celtics,prod-1000031335,basketball/nba
Philadelphia 76ers,basketball__philadelphia_76ers,prod-1000058061,basketball/nba
New York Knicks,basketball__new_york_knicks,prod-1000067568,basketball/nba
Golden State Warriors,basketball__golden_state_warriors,prod-1000000224,basketball/nba
LA Clippers,basketball__la_clippers,prod-1000000225,basketball/nba
Los Angeles Lakers,basketball__los_angeles_lakers,prod-1000000226,basketball/nba
Sacramento Kings,basketball__sacramento_kings,prod-1000000228,basketball/nba
Phoenix Suns,basketball__phoenix_suns,prod-1000000538,basketball/nba
Dallas Mavericks,basketball__dallas_mavericks,prod-1000000221,basketball/nba
San Antonio Spurs,basketball__san_antonio_spurs,prod-1000000223,basketball/nba
Memphis Grizzlies,basketball__memphis_grizzlies,prod-1000000343,basketball/nba
Houston Rockets,basketball__houston_rockets,prod-1000018005,basketball/nba
New Orleans Pelicans,basketball__new_orleans_pelicans,prod-1000090614,basketball/nba
Miami Heat,basketball__miami_heat,prod-1000000212,basketball/nba
Washington Wizards,basketball__washington_wizards,prod-1000000214,basketball/nba
Charlotte Hornets,basketball__charlotte_hornets,prod-1000014411,basketball/nba
Atlanta Hawks,basketball__atlanta_hawks,prod-1000037508,basketball/nba
Orlando Magic,basketball__orlando_magic,prod-1000080666,basketball/nba
Connecticut Sun (W),basketball__connecticut_sun_(w),prod-1000071005,basketball/wnba
Las Vegas Aces (W),basketball__las_vegas_aces_(w),prod-1004642763,basketball/wnba
New York Liberty (W),basketball__new_york_liberty_(w),prod-1000080278,basketball/wnba
Golden State Valkyries (W),basketball__golden_state_valkyries_(w),prod-1030204546,basketball/wnba
Indiana Fever (W),basketball__indiana_fever_(w),prod-1000037106,basketball/wnba
Los Angeles Sparks (W),basketball__los_angeles_sparks_(w),prod-1000076511,basketball/wnba
Washington Mystics (W),basketball__washington_mystics_(w),prod-1000061281,basketball/wnba
Minnesota Lynx (W),basketball__minnesota_lynx_(w),prod-1000054064,basketball/wnba
Chicago Sky (W),basketball__chicago_sky_(w),prod-1000029169,basketball/wnba
Phoenix Mercury (W),basketball__phoenix_mercury_(w),prod-1000031932,basketball/wnba
Seattle Storm (W),basketball__seattle_storm_(w),prod-1000043286,basketball/wnba
Atlanta Dream (W),basketball__atlanta_dream_(w),prod-1000314212,basketball/wnba
Dallas Wings (W),basketball__dallas_wings_(w),prod-1003140037,basketball/wnba
